Target,LL_CWE_ID,HL_CWE_ID,N_CVEs
libpng,399,664,0
libpng,681,664,0
libpng,611,664,0
libpng,416,664,1
libpng,20,707,0
libpng,835,691,0
libpng,401,664,1
libpng,131,682,0
libpng,772,664,0
libpng,119,664,3
libpng,190,682,0
libpng,664,664,0
libpng,369,682,1
libpng,476,703,1
libpng,129,707,0
libpng,787,664,0
libpng,415,664,0
libpng,617,691,0
libpng,125,664,0
libpng,770,664,0
libpng,189,682,0
libtiff,399,664,0
libtiff,681,664,0
libtiff,611,664,0
libtiff,416,664,0
libtiff,20,707,1
libtiff,835,691,0
libtiff,401,664,0
libtiff,131,682,0
libtiff,772,664,0
libtiff,119,664,1
libtiff,190,682,0
libtiff,664,664,0
libtiff,369,682,2
libtiff,476,703,2
libtiff,129,707,0
libtiff,787,664,4
libtiff,415,664,0
libtiff,617,691,0
libtiff,125,664,3
libtiff,770,664,0
libtiff,189,682,0
libxml2,399,664,0
libxml2,681,664,0
libxml2,611,664,1
libxml2,416,664,2
libxml2,20,707,1
libxml2,835,691,1
libxml2,401,664,0
libxml2,131,682,0
libxml2,772,664,0
libxml2,119,664,6
libxml2,190,682,0
libxml2,664,664,0
libxml2,369,682,0
libxml2,476,703,0
libxml2,129,707,0
libxml2,787,664,2
libxml2,415,664,0
libxml2,617,691,0
libxml2,125,664,4
libxml2,770,664,0
libxml2,189,682,0
poppler,399,664,0
poppler,681,664,0
poppler,611,664,0
poppler,416,664,0
poppler,20,707,3
poppler,835,691,1
poppler,401,664,0
poppler,131,682,0
poppler,772,664,0
poppler,119,664,0
poppler,190,682,4
poppler,664,664,0
poppler,369,682,2
poppler,476,703,4
poppler,129,707,0
poppler,787,664,1
poppler,415,664,0
poppler,617,691,0
poppler,125,664,7
poppler,770,664,0
poppler,189,682,0
openssl,399,664,4
openssl,681,664,0
openssl,611,664,0
openssl,416,664,1
openssl,20,707,3
openssl,835,691,0
openssl,401,664,0
openssl,131,682,0
openssl,772,664,0
openssl,119,664,4
openssl,190,682,1
openssl,664,664,0
openssl,369,682,0
openssl,476,703,6
openssl,129,707,0
openssl,787,664,1
openssl,415,664,0
openssl,617,691,0
openssl,125,664,0
openssl,770,664,0
openssl,189,682,1
php,399,664,0
php,681,664,0
php,611,664,0
php,416,664,0
php,20,707,0
php,835,691,0
php,401,664,0
php,131,682,0
php,772,664,0
php,119,664,8
php,190,682,1
php,664,664,0
php,369,682,0
php,476,703,0
php,129,707,0
php,787,664,0
php,415,664,0
php,617,691,0
php,125,664,6
php,770,664,0
php,189,682,0
sqlite3,399,664,0
sqlite3,681,664,1
sqlite3,611,664,0
sqlite3,416,664,1
sqlite3,20,707,2
sqlite3,835,691,0
sqlite3,401,664,0
sqlite3,131,682,0
sqlite3,772,664,0
sqlite3,119,664,3
sqlite3,190,682,0
sqlite3,664,664,1
sqlite3,369,682,0
sqlite3,476,703,6
sqlite3,129,707,0
sqlite3,787,664,1
sqlite3,415,664,0
sqlite3,617,691,0
sqlite3,125,664,1
sqlite3,770,664,0
sqlite3,189,682,0
ffmpeg,399,664,0
ffmpeg,681,664,0
ffmpeg,611,664,0
ffmpeg,416,664,1
ffmpeg,20,707,1
ffmpeg,835,691,1
ffmpeg,401,664,0
ffmpeg,131,682,0
ffmpeg,772,664,0
ffmpeg,119,664,2
ffmpeg,190,682,0
ffmpeg,664,664,0
ffmpeg,369,682,2
ffmpeg,476,703,2
ffmpeg,129,707,1
ffmpeg,787,664,0
ffmpeg,415,664,1
ffmpeg,617,691,1
ffmpeg,125,664,10
ffmpeg,770,664,0
ffmpeg,189,682,0
binutils,399,664,0
binutils,681,664,0
binutils,611,664,0
binutils,416,664,1
binutils,20,707,0
binutils,835,691,3
binutils,401,664,0
binutils,131,682,1
binutils,772,664,2
binutils,119,664,9
binutils,190,682,11
binutils,664,664,0
binutils,369,682,1
binutils,476,703,8
binutils,129,707,0
binutils,787,664,3
binutils,415,664,0
binutils,617,691,0
binutils,125,664,19
binutils,770,664,1
binutils,189,682,0
